t,G,C1,C1_next,C2,C2_next,f_e,x1,f_c,x2,L_out,L_target,shed
16.5,13.535533905932741,7.441526009170229,7.857653121747202,7.451033419268431,7.866124365548843,10.0,3.5355339059327413,1.6942487603282104,0.0,9.0,9.0,0.0
16.75,13.043807145043605,7.857653121747202,8.21605070994699,7.866124365548843,8.22334084212195,10.0,3.043807145043605,1.4580264349922716,0.0,9.0,9.0,0.0
17.0,12.500000000000007,8.21605070994699,8.510586491668908,8.22334084212195,8.51657077603447,10.0,2.500000000000007,1.19685687311233,0.0,9.0,9.0,0.0
17.25,11.913417161825453,8.510586491668908,8.73622087802695,8.51657077603447,8.740796921818463,10.0,1.9134171618254534,0.915208758302011,0.0,9.0,9.0,0.0
17.5,11.294095225512613,8.73622087802695,8.889093202112862,8.740796921818463,8.89218270795233,10.0,1.2940952255126135,0.6179011678933338,0.0,9.0,9.0,0.0
17.75,10.652630961100263,8.889093202112862,8.966587776077317,8.89218270795233,8.968137881663251,10.0,0.6526309611002628,0.3100211171874353,0.0,9.0,9.0,0.0
18.0,10.000000000000002,8.966587776077317,8.966587776077317,8.968137881663251,8.968137881663251,10.0,1.7763568394002505e-15,0.0,0.0,9.0,9.0,0.0
18.25,9.34736903889975,8.966587776077317,8.809653655675342,8.968137881663251,8.967362828870284,9.34736903889975,0.0,0.6277364816078946,0.618281963147606,9.0,9.0,0.0
18.5,8.705904774487399,8.809653655675342,8.577366256671327,8.967362828870284,8.888508242272813,8.705904774487399,0.0,0.9291495960160602,1.2259849504856222,9.0,9.0,0.0
18.75,8.086582838174559,8.577366256671327,8.273685893352297,8.888508242272813,8.73293724947207,8.086582838174559,0.0,1.214721453276123,1.8127109954135758,9.0,9.0,0.0
19.0,7.5000000000000036,8.273685893352297,7.903808765701269,8.73293724947207,8.503311571412183,7.5000000000000036,0.0,1.4795085106041135,2.368421052631575,9.0,9.0,0.0
19.25,6.956192854956398,7.903808765701269,7.47406357244442,8.503311571412183,8.203560168556727,6.956192854956398,0.0,1.7189807730273985,2.8836067689886753,9.0,9.0,0.0
19.5,6.464466094067268,7.47406357244442,6.991803373001328,8.203560168556727,7.838811870500574,6.464466094067268,0.0,1.9290407977723694,3.3494531740415363,9.0,9.0,0.0
19.75,6.033233298543825,6.991803373001328,6.465279773092093,7.838811870500574,7.415307621750951,6.033233298543825,0.0,2.106094399636939,3.757989506642692,9.0,9.0,0.0
20.0,5.669872981077811,6.465279773092093,5.903501737491088,7.415307621750951,6.940293697421522,5.669872981077811,0.0,2.2471121424040192,4.102225596873653,9.0,9.0,0.0
20.25,5.380602337443568,5.903501737491088,5.316081444141742,6.940293697421522,6.421897717456305,5.380602337443568,0.0,2.349681173397386,4.3762714697903045,9.0,9.0,0.0
20.5,5.170370868554661,5.316081444141742,4.713069817126936,6.421897717456305,5.868989580799024,5.170370868554661,0.0,2.4120465080592215,4.575438124527163,9.0,9.0,0.0
20.75,5.042775693130949,4.713069817126936,4.104784552571303,5.868989580799024,5.29102969896298,5.042775693130949,0.0,2.433141058222533,4.6963177644022585,9.0,9.0,0.0
21.0,5.0,4.104784552571303,3.501633579999924,5.29102969896298,4.697907125767141,5.0,0.0,2.412603890285515,4.736842105263158,9.0,9.0,0.0
21.25,5.042775693130947,3.501633579999924,2.91393697977854,4.697907125767141,4.0997703528835325,5.042775693130947,0.0,2.350786400885536,4.696317764402261,9.0,9.0,0.0
21.5,5.170370868554658,2.91393697977854,2.3517504036772188,4.0997703528835325,3.506853666331036,5.170370868554658,0.0,2.2487463044052864,4.5754381245271665,9.0,9.0,0.0
21.75,5.3806023374435625,2.3517504036772188,1.8246930198806182,3.506853666331036,2.9293020350041274,5.3806023374435625,0.0,2.1082295351864024,4.376271469790309,9.0,9.0,0.0
22.0,5.669872981077805,1.8246930198806182,1.3417829263534142,2.9293020350041274,2.3769975274423727,5.669872981077805,0.0,1.9316403741088162,4.102225596873659,9.0,9.0,0.0
22.25,6.033233298543818,1.3417829263534142,0.911282848683827,2.3769975274423727,1.8593902268978935,6.033233298543818,0.0,1.7220003106783488,3.7579895066426987,9.0,9.0,0.0
22.5,6.464466094067258,0.911282848683827,0.5405587625579564,1.8593902268978935,1.3853365377908602,6.464466094067258,0.0,1.4828963445034822,3.3494531740415456,9.0,9.0,0.0
22.75,6.956192854956394,0.5405587625579564,0.2359538598735504,1.3853365377908602,0.9629476501744083,6.956192854956394,0.0,1.2184196107376242,2.8836067689886793,9.0,9.0,0.0
23.0,7.499999999999993,0.2359538598735504,0.002680014967971378,0.9629476501744083,0.5994507550239794,7.499999999999993,0.0,0.933095379622316,2.3684210526315854,9.0,9.0,0.0
23.25,8.086582838174547,0.002680014967971378,0.0,0.5994507550239794,0.14889942083919455,8.086582838174547,0.0,0.010720059871885512,1.8127109954135872,9.0,9.0,0.0
23.5,8.705904774487387,0.0,0.0,0.14889942083919455,0.0,8.705904774487387,0.0,0.0,0.5955976833567782,8.401132096227588,9.0,0.5988679037724118
23.75,9.347369038899735,0.0,0.0,0.0,0.0,9.347369038899735,0.0,0.0,0.0,8.412632135009762,9.0,0.5873678649902381
24.0,9.999999999999998,0.0,0.0,0.0,0.0,9.999999999999998,0.0,0.0,0.0,8.999999999999998,9.0,1.7763568394002505e-15
24.25,10.65263096110025,0.0,0.07591829547492707,0.0,0.07749992663065472,10.0,0.6526309611002503,0.3163262311455295,0.0,9.0,9.0,0.0
24.5,11.2940952255126,0.07591829547492707,0.22726285801196805,0.07749992663065472,0.23038291908241204,10.0,1.2940952255125993,0.6240122140888054,0.0,9.0,9.0,0.0
24.75,11.913417161825441,0.22726285801196805,0.45143590595413363,0.23038291908241204,0.45604117651396114,10.0,1.913417161825441,0.9210541119655066,0.0,9.0,9.0,0.0
25.0,12.499999999999995,0.45143590595413363,0.744601860321392,0.45604117651396114,0.7506135412340467,10.0,2.4999999999999947,1.2023361825309613,0.0,9.0,9.0,0.0
25.25,13.043807145043594,0.744601860321392,1.101744569496185,0.7506135412340467,1.109059799251646,10.0,3.043807145043594,1.4630459510922422,0.0,9.0,9.0,0.0
25.5,13.535533905932732,1.101744569496185,1.5167532227146154,1.109059799251646,1.5252468357034275,10.0,3.5355339059327324,1.6987225977623732,0.0,9.0,9.0,0.0
25.75,13.966766701456173,1.5167532227146154,1.9825269068578906,1.5252468357034275,1.992053575006942,10.0,3.966766701456173,1.9053336298102632,0.0,9.0,9.0,0.0
26.0,14.33012701892219,1.9825269068578906,2.4910961050534572,1.992053575006942,2.5014928244294263,10.0,4.330127018922189,2.079343875193814,0.0,9.0,9.0,0.0
26.25,14.619397662556432,2.4910961050534572,3.0337590573181696,2.5014928244294263,3.044847937170018,10.0,4.619397662556432,2.2177759703697615,0.0,9.0,9.0,0.0
26.5,14.829629131445339,3.0337590573181696,3.6012306500841826,3.044847937170018,3.6128219566032276,10.0,4.829629131445339,2.318261303809019,0.0,9.0,9.0,0.0
26.75,14.957224306869051,3.6012306500841826,4.183801287066422,3.6128219566032276,4.195696689784405,10.0,4.957224306869051,2.3790805435966407,0.0,9.0,9.0,0.0
27.0,15.0,4.183801287066422,4.771503023147026,4.195696689784405,4.783498988425413,10.0,5.0,2.399193055677587,0.0,9.0,9.0,0.0
27.25,14.957224306869053,4.771503023147026,5.35428011867995,4.783498988425413,5.36617139222692,10.0,4.957224306869053,2.378254709393904,0.0,9.0,9.0,0.0
27.5,14.829629131445342,5.35428011867995,5.92216109598429,5.36617139222692,5.933744214812569,10.0,4.829629131445342,2.3166237656557125,0.0,9.0,9.0,0.0
27.75,14.619397662556437,5.92216109598429,6.465429354092017,5.933744214812569,6.476506127827007,10.0,4.6193976625564375,2.2153547469977055,0.0,9.0,9.0,0.0
28.0,14.330127018922196,6.465429354092017,6.974789422484492,6.476506127827007,6.985170324456523,10.0,4.330127018922196,2.0761803944061867,0.0,9.0,9.0,0.0
28.25,13.966766701456184,6.974789422484492,7.441526009170227,6.985170324456523,7.4510334192684295,10.0,3.9667667014561836,1.9014820196404345,0.0,9.0,9.0,0.0
28.5,13.535533905932743,7.441526009170227,7.857653121747201,7.4510334192684295,7.866124365548841,10.0,3.535533905932743,1.6942487603282104,0.0,9.0,9.0,0.0
28.75,13.043807145043614,7.857653121747201,8.21605070994699,7.866124365548841,8.22334084212195,10.0,3.0438071450436137,1.4580264349922787,0.0,9.0,9.0,0.0
29.0,12.500000000000007,8.21605070994699,8.510586491668908,8.22334084212195,8.51657077603447,10.0,2.500000000000007,1.19685687311233,0.0,9.0,9.0,0.0
29.25,11.913417161825453,8.510586491668908,8.73622087802695,8.51657077603447,8.740796921818463,10.0,1.9134171618254534,0.915208758302011,0.0,9.0,9.0,0.0
29.5,11.294095225512613,8.73622087802695,8.889093202112862,8.740796921818463,8.89218270795233,10.0,1.2940952255126135,0.6179011678933338,0.0,9.0,9.0,0.0
29.75,10.652630961100265,8.889093202112862,8.966587776077317,8.89218270795233,8.968137881663251,10.0,0.6526309611002645,0.3100211171874353,0.0,9.0,9.0,0.0
30.0,10.000000000000012,8.966587776077317,8.96658777607732,8.968137881663251,8.968137881663251,10.0,1.2434497875801753e-14,0.0,0.0,9.0,9.0,0.0
30.25,9.34736903889975,8.96658777607732,8.809653655675344,8.968137881663251,8.967362828870286,9.34736903889975,0.0,0.627736481607902,0.618281963147606,9.0,9.0,0.0
30.5,8.7059047744874,8.809653655675344,8.57736625667133,8.967362828870286,8.888508242272815,8.7059047744874,0.0,0.9291495960160584,1.2259849504856204,9.0,9.0,0.0
30.75,8.08658283817456,8.57736625667133,8.273685893352297,8.888508242272815,8.732937249472073,8.08658283817456,0.0,1.2147214532761283,1.812710995413574,9.0,9.0,0.0
31.0,7.500000000000005,8.273685893352297,7.903808765701271,8.732937249472073,8.503311571412185,7.500000000000005,0.0,1.4795085106041046,2.3684210526315734,9.0,9.0,0.0
31.25,6.956192854956399,7.903808765701271,7.4740635724444235,8.503311571412185,8.203560168556727,6.956192854956399,0.0,1.7189807730273903,2.8836067689886744,9.0,9.0,0.0
31.5,6.464466094067274,7.4740635724444235,6.991803373001331,8.203560168556727,7.838811870500575,6.464466094067274,0.0,1.9290407977723698,3.3494531740415296,9.0,9.0,0.0
31.75,6.033233298543832,6.991803373001331,6.465279773092098,7.838811870500575,7.415307621750953,6.033233298543832,0.0,2.1060943996369357,3.7579895066426854,9.0,9.0,0.0
32.0,5.669872981077812,6.465279773092098,5.9035017374910925,7.415307621750953,6.9402936974215255,5.669872981077812,0.0,2.247112142404022,4.1022255968736525,9.0,9.0,0.0
32.25,5.380602337443569,5.9035017374910925,5.316081444141746,6.9402936974215255,6.421897717456309,5.380602337443569,0.0,2.3496811733973852,4.376271469790304,9.0,9.0,0.0
32.5,5.170370868554659,5.316081444141746,4.71306981712694,6.421897717456309,5.8689895807990276,5.170370868554659,0.0,2.412046508059224,4.575438124527166,9.0,9.0,0.0
32.75,5.04277569313095,4.71306981712694,4.104784552571307,5.8689895807990276,5.2910296989629835,5.04277569313095,0.0,2.433141058222532,4.696317764402258,9.0,9.0,0.0
33.0,5.0,4.104784552571307,3.5016335799999285,5.2910296989629835,4.697907125767145,5.0,0.0,2.412603890285515,4.736842105263158,9.0,9.0,0.0
33.25,5.042775693130947,3.5016335799999285,2.9139369797785433,4.697907125767145,4.099770352883537,5.042775693130947,0.0,2.35078640088554,4.696317764402261,9.0,9.0,0.0
33.5,5.170370868554658,2.9139369797785433,2.3517504036772223,4.099770352883537,3.50685366633104,5.170370868554658,0.0,2.2487463044052847,4.5754381245271665,9.0,9.0,0.0
33.75,5.380602337443566,2.3517504036772223,1.8246930198806233,3.50685366633104,2.929302035004131,5.380602337443566,0.0,2.1082295351863967,4.376271469790305,9.0,9.0,0.0
34.0,5.669872981077799,1.8246930198806233,1.3417829263534173,2.929302035004131,2.376997527442377,5.669872981077799,0.0,1.9316403741088242,4.102225596873663,9.0,9.0,0.0
34.25,6.033233298543816,1.3417829263534173,0.9112828486838304,2.376997527442377,1.8593902268978972,6.033233298543816,0.0,1.722000310678348,3.7579895066427005,9.0,9.0,0.0
34.5,6.464466094067257,0.9112828486838304,0.54055876255796,1.8593902268978972,1.3853365377908637,6.464466094067257,0.0,1.4828963445034813,3.3494531740415456,9.0,9.0,0.0
34.75,6.956192854956393,0.54055876255796,0.23595385987355366,1.3853365377908637,0.9629476501744119,6.956192854956393,0.0,1.2184196107376253,2.88360676898868,9.0,9.0,0.0
35.0,7.499999999999984,0.23595385987355366,0.002680014967972738,0.9629476501744119,0.5994507550239827,7.499999999999984,0.0,0.9330953796223237,2.368421052631594,9.0,9.0,0.0
35.25,8.086582838174538,0.002680014967972738,0.0,0.5994507550239827,0.1488994208391971,8.086582838174538,0.0,0.010720059871890952,1.8127109954135956,9.0,9.0,0.0
